Req#,Project,Season,Account,,,
R0019653,Miscellaneous Production Supplies,Spring 2026,13220,,,
R0019576,Dolly West's Kitchen,Spring 2026,11300,,,
R0012787,Rumors,Fall 2025,13220,,,
R0012788,Rumors,Fall 2025,13220,,,
R0012818,Rumors,Spring 2026,13220,,,
R0016819,Rumors,Fall 2025,11300,,,
R0016832,Rumors,Fall 2025,11303,,,
R0017064,Rumors,Fall 2025,11300,,,
R0016971,Rumors,Fall 2025,11300,,,
R0017154,Rumors,Fall 2025,11300,,,
R0017366,Rumors,Fall 2025,11305,,,
R0017478,Rumors,Fall 2025,11305,,,
R0017474,Rumors,Fall 2025,11300,,,
R0017470,Rumors,Fall 2025,11300,,,
R0017519,Rumors,Fall 2025,11300,,,
R0017542,Rumors,Fall 2025,11305,,,
R0017581,Rumors,Fall 2025,11304,,,
R0017679,Rumors,Fall 2025,11305,,,
R0017827,Rumors,Fall 2025,11305,,,
R0017942,Rumors,Fall 2025,11300,,,
R0017936,Rumors,Fall 2025,11305,,,
R0017969,Rumors,Fall 2025,11305,,,
R0017971,Rumors,Fall 2025,11305,,,
R0017995,Rumors,Fall 2025,11300,,,
R0018031,Rumors,Fall 2025,11300,,,
R0018043,Rumors,Fall 2025,11305,,,
R0018079,Rumors,Fall 2025,11301,,,
R0018077,Rumors,Fall 2025,11300,,,
R0018078,Rumors,Fall 2025,11304,,,
R0018128,Rumors,Fall 2025,11302,,,
R0018118,Rumors,Fall 2025,11304,,,
R0018131,Rumors,Fall 2025,11304,,,
R0018189,Rumors,Fall 2025,11308,,,
R0018233,Rumors,Fall 2025,11302,,,
R0018257,Rumors,Fall 2025,11302,,,
R0018357,Rumors,Fall 2025,11305,,,
R0018401,Rumors,Fall 2025,11302,,,
R0018364,Rumors,Fall 2025,15070,,,
R0018365,External Procurement,Fall 2025,11099,,,
R0018402,Rumors,Fall 2025,11302,,,
R0018457,Rumors,Fall 2025,11300,,,
R0018664,Rumors,Fall 2025,11300,,,
R0018663,External Procurement,Fall 2025,11088,,,
R0018785,Rumors,Fall 2025,11302,,,
R0018827,Rumors,Fall 2025,11305,,,
R0019233,Dolly West's Kitchen,Spring 2026,11305,,,
R0018834,External Procurement,Spring 2026,12460,,,
R0019217,External Procurement,Spring 2026,11031,,,
R0019510,Dolly West's Kitchen,Spring 2026,11303,,,
R0019534,Dolly West's Kitchen,Spring 2026,11308,,,